year age sex race q
1940 33 m white 0.00323
1940 34 m white 0.00342
1940 35 m white 0.00363
1940 36 m white 0.00387
1940 37 m white 0.00414
1940 38 m white 0.00443
1940 39 m white 0.00476
1940 40 m white 0.00513
1940 41 m white 0.00554
1940 42 m white 0.006
1940 43 m white 0.0065
1940 44 m white 0.00706
1940 45 m white 0.00766
1940 46 m white 0.00833
1940 47 m white 0.00904
1940 48 m white 0.00981
1940 49 m white 0.01064
1940 50 m white 0.01155
1940 51 m white 0.01253
1940 52 m white 0.0136
1940 53 m white 0.01476
1940 54 m white 0.01602
1940 55 m white 0.01737
1940 56 m white 0.01881
1940 57 m white 0.02034
1940 58 m white 0.02195
1940 59 m white 0.02366
1940 60 m white 0.02548
1940 61 m white 0.02743
1940 62 m white 0.02952
1940 63 m white 0.03177
1940 64 m white 0.0342
1940 65 m white 0.03685
1940 66 m white 0.03975
1940 67 m white 0.04293
1940 68 m white 0.04643
1940 69 m white 0.05028
1940 70 m white 0.05454
1940 71 m white 0.05924
1940 72 m white 0.06443
1940 73 m white 0.07014
1940 74 m white 0.07637
1940 75 m white 0.08313
1940 76 m white 0.0904
1940 77 m white 0.09818
1940 78 m white 0.10647
1940 79 m white 0.1153
1940 80 m white 0.12471
1940 81 m white 0.13472
1940 82 m white 0.14537
1940 83 m white 0.15668
1940 84 m white 0.16859
1940 85 m white 0.18104
1940 86 m white 0.19395
1940 87 m white 0.20727
1940 88 m white 0.22091
1940 89 m white 0.23482
1940 90 m white 0.24894
1940 91 m white 0.26322
1940 92 m white 0.2776
1940 93 m white 0.29202
1940 94 m white 0.30642
1940 95 m white 0.32076
1940 96 m white 0.33496
1940 97 m white 0.34898
1940 98 m white 0.36275
1940 99 m white 0.37623
1940 100 m white 0.38935
1940 101 m white 0.40205
1940 102 m white 0.41429
1940 103 m white 0.42599
1940 104 m white 0.43712
1940 105 m white 0.4476
1940 106 m white 0.45738
1940 107 m white 0.4664
1940 108 m white 0.47462
1940 109 m white 0.48476
1940 0-1d f white 0.01187
1940 1-7d f white 0.00757
1940 7-28d f white 0.00447
1940 0 f white 0.03789
1940 1 f white 0.00432
1940 2 f white 0.0022
1940 3 f white 0.00161
1940 4 f white 0.00128
1940 5 f white 0.0011
1940 6 f white 0.00096
1940 7 f white 0.00085
1940 8 f white 0.00077
1940 9 f white 0.00072
1940 10 f white 7e-04
1940 11 f white 7e-04
1940 12 f white 0.00072
1940 13 f white 0.00077
1940 14 f white 0.00086
1940 15 f white 0.00096
1940 16 f white 0.00107
1940 17 f white 0.00117
1940 18 f white 0.00126
1940 19 f white 0.00136
1940 20 f white 0.00145
1940 21 f white 0.00154
1940 22 f white 0.00162
1940 23 f white 0.0017
1940 24 f white 0.00176
1940 25 f white 0.00182
1940 26 f white 0.00188
1940 27 f white 0.00195
1940 28 f white 0.00203
1940 29 f white 0.00211
1940 30 f white 0.0022
1940 31 f white 0.0023
1940 32 f white 0.0024
1940 33 f white 0.00252
1940 34 f white 0.00264
1940 35 f white 0.00278
1940 36 f white 0.00292
1940 37 f white 0.00309
1940 38 f white 0.00326
1940 39 f white 0.00346
1940 40 f white 0.00368
1940 41 f white 0.00393
1940 42 f white 0.0042
1940 43 f white 0.00451
1940 44 f white 0.00485
1940 45 f white 0.00523
1940 46 f white 0.00564
1940 47 f white 0.00608
1940 48 f white 0.00655
1940 49 f white 0.00706
1940 50 f white 0.00762
1940 51 f white 0.00822
1940 52 f white 0.00888
1940 53 f white 0.00961
1940 54 f white 0.0104
1940 55 f white 0.01128
1940 56 f white 0.01224
1940 57 f white 0.0133
1940 58 f white 0.01446
1940 59 f white 0.01574
1940 60 f white 0.01714
1940 61 f white 0.01867
1940 62 f white 0.02035
1940 63 f white 0.02217
1940 64 f white 0.02419
1940 65 f white 0.02643
1940 66 f white 0.02893
1940 67 f white 0.03174
1940 68 f white 0.03489
1940 69 f white 0.03841
1940 70 f white 0.04233
1940 71 f white 0.04669
1940 72 f white 0.0515
1940 73 f white 0.0568
1940 74 f white 0.06259
1940 75 f white 0.06889
1940 76 f white 0.07569
1940 77 f white 0.083
1940 78 f white 0.09083
1940 79 f white 0.09921
1940 80 f white 0.10819
1940 81 f white 0.1178
1940 82 f white 0.12809
1940 83 f white 0.13906
1940 84 f white 0.1507
1940 85 f white 0.16294
1940 86 f white 0.17573
1940 87 f white 0.18902
1940 88 f white 0.20276
1940 89 f white 0.2169
1940 90 f white 0.23141
1940 91 f white 0.24624
1940 92 f white 0.26136
1940 93 f white 0.27671
1940 94 f white 0.29226
1940 95 f white 0.30796
1940 96 f white 0.32379
1940 97 f white 0.33968
1940 98 f white 0.35561
1940 99 f white 0.37152
1940 100 f white 0.38739
1940 101 f white 0.40316
1940 102 f white 0.4188
1940 103 f white 0.43427
1940 104 f white 0.44951
1940 105 f white 0.4645
1940 106 f white 0.47919
1940 107 f white 0.49353
1940 108 f white 0.5075
1940 109 f white 0.52104
1940 0-1d m nonwhite 0.01541
1940 1-7d m nonwhite 0.01479
1940 7-28d m nonwhite 0.01365
1940 0 m nonwhite 0.09863
1940 1 m nonwhite 0.02036
1940 2 m nonwhite 0.00959
1940 3 m nonwhite 0.00516
1940 4 m nonwhite 0.00389
1940 5 m nonwhite 0.0033
1940 6 m nonwhite 0.00284
1940 7 m nonwhite 0.00249
1940 8 m nonwhite 0.00225
1940 9 m nonwhite 0.00212
1940 10 m nonwhite 0.00207
1940 11 m nonwhite 0.00212
1940 12 m nonwhite 0.00224
1940 13 m nonwhite 0.00248
1940 14 m nonwhite 0.00285
1940 15 m nonwhite 0.00329
1940 16 m nonwhite 0.00372
1940 17 m nonwhite 0.00411
1940 18 m nonwhite 0.00445
1940 19 m nonwhite 0.00479
1940 20 m nonwhite 0.00511
1940 21 m nonwhite 0.00537
1940 22 m nonwhite 0.00555
1940 23 m nonwhite 0.0056
1940 24 m nonwhite 0.00554
1940 25 m nonwhite 0.00543
1940 26 m nonwhite 0.00535
1940 27 m nonwhite 0.00537
1940 28 m nonwhite 0.00548
1940 29 m nonwhite 0.00566
1940 30 m nonwhite 0.00588
1940 31 m nonwhite 0.00613
1940 32 m nonwhite 0.00637
1940 33 m nonwhite 0.0066
1940 34 m nonwhite 0.00683
1940 35 m nonwhite 0.00708
1940 36 m nonwhite 0.00734
1940 37 m nonwhite 0.00763
1940 38 m nonwhite 0.00796
1940 39 m nonwhite 0.00832
1940 40 m nonwhite 0.00872
1940 41 m nonwhite 0.00916
1940 42 m nonwhite 0.00963
1940 43 m nonwhite 0.01015
1940 44 m nonwhite 0.01072
1940 45 m nonwhite 0.01135
1940 46 m nonwhite 0.01203
1940 47 m nonwhite 0.01278
1940 48 m nonwhite 0.01361
1940 49 m nonwhite 0.0145
1940 50 m nonwhite 0.01544
1940 51 m nonwhite 0.01643
1940 52 m nonwhite 0.01745
1940 53 m nonwhite 0.01849
1940 54 m nonwhite 0.0196
1940 55 m nonwhite 0.02079
1940 56 m nonwhite 0.02212
1940 57 m nonwhite 0.02361
1940 58 m nonwhite 0.02529
1940 59 m nonwhite 0.02715
1940 60 m nonwhite 0.02914
1940 61 m nonwhite 0.03123
1940 62 m nonwhite 0.0334
1940 63 m nonwhite 0.03562
1940 64 m nonwhite 0.03794
1940 65 m nonwhite 0.04043
1940 66 m nonwhite 0.04314
1940 67 m nonwhite 0.04614
1940 68 m nonwhite 0.04949
1940 69 m nonwhite 0.05322
1940 70 m nonwhite 0.05736
1940 71 m nonwhite 0.06196
1940 72 m nonwhite 0.06704
1940 73 m nonwhite 0.0726
1940 74 m nonwhite 0.07854
1940 75 m nonwhite 0.0847
1940 76 m nonwhite 0.09093
1940 77 m nonwhite 0.09709
1940 78 m nonwhite 0.10309
1940 79 m nonwhite 0.10904
1940 80 m nonwhite 0.11511
1940 81 m nonwhite 0.12147
1940 82 m nonwhite 0.12828
1940 83 m nonwhite 0.13572
1940 84 m nonwhite 0.14392
1940 85 m nonwhite 0.15301
1940 86 m nonwhite 0.16312
1940 87 m nonwhite 0.17438
1940 88 m nonwhite 0.18694
1940 89 m nonwhite 0.20091
1940 90 m nonwhite 0.21643
1940 91 m nonwhite 0.23363
1940 92 m nonwhite 0.25264
1940 93 m nonwhite 0.2736
1940 94 m nonwhite 0.29664
1940 95 m nonwhite 0.32189
1940 96 m nonwhite 0.34948
1940 97 m nonwhite 0.37954
1940 98 m nonwhite 0.41221
1940 99 m nonwhite 0.44761
1940 100 m nonwhite 0.48588
1940 101 m nonwhite 0.52715
1940 102 m nonwhite 0.57155
1940 103 m nonwhite 0.61921
1940 104 m nonwhite 0.67028
1940 105 m nonwhite 0.72486
1940 106 m nonwhite 0.72486
1940 107 m nonwhite 0.72486
1940 108 m nonwhite 0.72486
1940 109 m nonwhite 0.72486
1940 0-1d f nonwhite 0.0127
1940 1-7d f nonwhite 0.01148
1940 7-28d f nonwhite 0.01016
1940 0 f nonwhite 0.08717
1940 1 f nonwhite 0.02038
1940 2 f nonwhite 0.00986
1940 3 f nonwhite 0.00546
1940 4 f nonwhite 0.00393
1940 5 f nonwhite 0.0031
1940 6 f nonwhite 0.00251
1940 7 f nonwhite 0.00212
1940 8 f nonwhite 0.0019
1940 9 f nonwhite 0.00183
1940 10 f nonwhite 0.00189
1940 11 f nonwhite 0.00203
1940 12 f nonwhite 0.00225
1940 13 f nonwhite 0.00256
1940 14 f nonwhite 0.00299
1940 15 f nonwhite 0.00349
1940 16 f nonwhite 0.004
1940 17 f nonwhite 0.00448
1940 18 f nonwhite 0.00495
1940 19 f nonwhite 0.00545
1940 20 f nonwhite 0.00593
1940 21 f nonwhite 0.00636
1940 22 f nonwhite 0.0067
1940 23 f nonwhite 0.00693
1940 24 f nonwhite 0.00709
1940 25 f nonwhite 0.0072
1940 26 f nonwhite 0.00726
1940 27 f nonwhite 0.00731
1940 28 f nonwhite 0.00733
1940 29 f nonwhite 0.0073
1940 30 f nonwhite 0.00725
1940 31 f nonwhite 0.00719
1940 32 f nonwhite 0.00712
1940 33 f nonwhite 0.00706
1940 34 f nonwhite 0.00701
1940 35 f nonwhite 0.00697
1940 36 f nonwhite 0.00696
1940 37 f nonwhite 0.00699
1940 38 f nonwhite 0.00706
1940 39 f nonwhite 0.00717
1940 40 f nonwhite 0.00732
1940 41 f nonwhite 0.00751
1940 42 f nonwhite 0.00773
1940 43 f nonwhite 0.00799
1940 44 f nonwhite 0.00828
1940 45 f nonwhite 0.00864
1940 46 f nonwhite 0.00907
1940 47 f nonwhite 0.00959
1940 48 f nonwhite 0.0102
1940 49 f nonwhite 0.01091
1940 50 f nonwhite 0.01171
1940 51 f nonwhite 0.0126
1940 52 f nonwhite 0.01358
1940 53 f nonwhite 0.01464
1940 54 f nonwhite 0.01577
1940 55 f nonwhite 0.01696
1940 56 f nonwhite 0.01819
1940 57 f nonwhite 0.01947
1940 58 f nonwhite 0.02078
1940 59 f nonwhite 0.02213
1940 60 f nonwhite 0.02353
1940 61 f nonwhite 0.02499
1940 62 f nonwhite 0.02652
1940 63 f nonwhite 0.02814
1940 64 f nonwhite 0.02987
1940 65 f nonwhite 0.03171
1940 66 f nonwhite 0.0337
1940 67 f nonwhite 0.03585
1940 68 f nonwhite 0.0382
1940 69 f nonwhite 0.0408
1940 70 f nonwhite 0.04373
1940 71 f nonwhite 0.04708
1940 72 f nonwhite 0.05092
1940 73 f nonwhite 0.05527
1940 74 f nonwhite 0.05998
1940 75 f nonwhite 0.06485
1940 76 f nonwhite 0.06966
1940 77 f nonwhite 0.07421
1940 78 f nonwhite 0.07837
1940 79 f nonwhite 0.08232
1940 80 f nonwhite 0.08633
1940 81 f nonwhite 0.09066
1940 82 f nonwhite 0.09556
1940 83 f nonwhite 0.10131
1940 84 f nonwhite 0.1081
1940 85 f nonwhite 0.11615
1940 86 f nonwhite 0.12567
1940 87 f nonwhite 0.13686
1940 88 f nonwhite 0.14993
1940 89 f nonwhite 0.16508
1940 90 f nonwhite 0.18253
1940 91 f nonwhite 0.20249
1940 92 f nonwhite 0.22515
1940 93 f nonwhite 0.25073
1940 94 f nonwhite 0.27943
1940 95 f nonwhite 0.31146
1940 96 f nonwhite 0.34703
1940 97 f nonwhite 0.38635
1940 98 f nonwhite 0.42962
1940 99 f nonwhite 0.47705
1940 100 f nonwhite 0.52884
1940 101 f nonwhite 0.58521
1940 102 f nonwhite 0.64637
1940 103 f nonwhite 0.71251
1940 104 f nonwhite 0.78385
1940 105 f nonwhite 0.86059
1940 106 f nonwhite 0.86059
1940 107 f nonwhite 0.86059
1940 108 f nonwhite 0.86059
1940 109 f nonwhite 0.86059
1940 0-1d m black 0.01921
1940 1-7d m black 0.01688
1940 7-28d m black 0.0115
1940 0 m black 0.08228
1940 1 m black 0.00937
1940 2 m black 0.00432
1940 3 m black 0.00269
1940 4 m black 0.00216
1940 5 m black 0.00186
1940 6 m black 0.00163
1940 7 m black 0.00147
1940 8 m black 0.00137
1940 9 m black 0.00134
1940 10 m black 0.00138
1940 11 m black 0.00149
1940 12 m black 0.00167
1940 13 m black 0.00194
1940 14 m black 0.00231
1940 15 m black 0.00274
1940 16 m black 0.0032
1940 17 m black 0.00369
1940 18 m black 0.00422
1940 19 m black 0.00483
1940 20 m black 0.00544
1940 21 m black 0.00602
1940 22 m black 0.0065
1940 23 m black 0.00685
1940 24 m black 0.00711
1940 25 m black 0.00733
1940 26 m black 0.00754
1940 27 m black 0.0078
1940 28 m black 0.0081
1940 29 m black 0.0084
1940 30 m black 0.00872
1940 31 m black 0.00906
1940 32 m black 0.00943
1940 33 m black 0.00983
1940 34 m black 0.01025
1940 35 m black 0.01071
1940 36 m black 0.01121
1940 37 m black 0.01174
1940 38 m black 0.0123
1940 39 m black 0.01293
1940 40 m black 0.01362
1940 41 m black 0.0144
1940 42 m black 0.01528
1940 43 m black 0.01629
1940 44 m black 0.0174
1940 45 m black 0.01859
1940 46 m black 0.01986
1940 47 m black 0.02118
1940 48 m black 0.02255
1940 49 m black 0.02394
1940 50 m black 0.02536
1940 51 m black 0.02679
1940 52 m black 0.02823
1940 53 m black 0.02966
1940 54 m black 0.03108
1940 55 m black 0.03248
1940 56 m black 0.03386
1940 57 m black 0.0352
1940 58 m black 0.0365
1940 59 m black 0.03779
1940 60 m black 0.0391
1940 61 m black 0.04045
1940 62 m black 0.04189
1940 63 m black 0.04343
1940 64 m black 0.04508
1940 65 m black 0.04685
1940 66 m black 0.04875
1940 67 m black 0.05077
1940 68 m black 0.05294
1940 69 m black 0.05532
1940 70 m black 0.05799
1940 71 m black 0.06104
1940 72 m black 0.06455
1940 73 m black 0.06857
1940 74 m black 0.07309
1940 75 m black 0.07803
1940 76 m black 0.08336
1940 77 m black 0.08902
1940 78 m black 0.09495
1940 79 m black 0.10107
1940 80 m black 0.1073
1940 81 m black 0.11353
1940 82 m black 0.11969
1940 83 m black 0.12573
1940 84 m black 0.13173
1940 85 m black 0.13783
1940 86 m black 0.14415
1940 87 m black 0.15083
1940 88 m black 0.15799
1940 89 m black 0.16574
1940 90 m black 0.17417
1940 91 m black 0.1834
1940 92 m black 0.19352
1940 93 m black 0.20463
1940 94 m black 0.21685
1940 95 m black 0.23027
1940 96 m black 0.245
1940 97 m black 0.26113
1940 98 m black 0.27877
1940 99 m black 0.29802
1940 100 m black 0.319
1940 101 m black 0.34178
1940 102 m black 0.36649
1940 103 m black 0.39322
1940 104 m black 0.42208
1940 105 m black 0.45317
1940 106 m black 0.48658
1940 107 m black 0.52244
1940 108 m black 0.56082
1940 109 m black 0.60185
1940 0-1d f black 0.01486
1940 1-7d f black 0.0123
1940 7-28d f black 0.00974
1940 0 f black 0.06584
1940 1 f black 0.00796
1940 2 f black 0.00372
1940 3 f black 0.00248
1940 4 f black 0.00209
1940 5 f black 0.00175
1940 6 f black 0.00146
1940 7 f black 0.00123
1940 8 f black 0.00108
1940 9 f black 0.00101
1940 10 f black 0.00104
1940 11 f black 0.00116
1940 12 f black 0.0014
1940 13 f black 0.00182
1940 14 f black 0.00241
1940 15 f black 0.00307
1940 16 f black 0.00371
1940 17 f black 0.00424
1940 18 f black 0.00465
1940 19 f black 0.00501
1940 20 f black 0.00532
1940 21 f black 0.00559
1940 22 f black 0.00583
1940 23 f black 0.00603
1940 24 f black 0.00616
1940 25 f black 0.00627
1940 26 f black 0.0064
1940 27 f black 0.00657
1940 28 f black 0.0068
1940 29 f black 0.00705
1940 30 f black 0.00733
1940 31 f black 0.00764
1940 32 f black 0.00799
1940 33 f black 0.00837
1940 34 f black 0.0088
1940 35 f black 0.00924
1940 36 f black 0.00971
1940 37 f black 0.0102
1940 38 f black 0.0107
1940 39 f black 0.01123
1940 40 f black 0.01181
1940 41 f black 0.01246
1940 42 f black 0.0132
1940 43 f black 0.01405
1940 44 f black 0.01499
1940 45 f black 0.01602
1940 46 f black 0.01711
1940 47 f black 0.01824
1940 48 f black 0.01942
1940 49 f black 0.02062
1940 50 f black 0.02187
1940 51 f black 0.02315
1940 52 f black 0.02447
1940 53 f black 0.02583
1940 54 f black 0.02721
1940 55 f black 0.02858
1940 56 f black 0.02992
1940 57 f black 0.03121
1940 58 f black 0.03242
1940 59 f black 0.03358
1940 60 f black 0.03472
1940 61 f black 0.03586
1940 62 f black 0.03703
1940 63 f black 0.03825
1940 64 f black 0.03954
1940 65 f black 0.0409
1940 66 f black 0.04233
1940 67 f black 0.04384
1940 68 f black 0.04544
1940 69 f black 0.04718
1940 70 f black 0.04912
1940 71 f black 0.05129
1940 72 f black 0.05376
1940 73 f black 0.05655
1940 74 f black 0.05963
1940 75 f black 0.06294
1940 76 f black 0.06641
1940 77 f black 0.06998
1940 78 f black 0.07362
1940 79 f black 0.07737
1940 80 f black 0.08127
1940 81 f black 0.0854
1940 82 f black 0.08981
1940 83 f black 0.09457
1940 84 f black 0.09971
1940 85 f black 0.10529
1940 86 f black 0.11135
1940 87 f black 0.11793
1940 88 f black 0.12509
1940 89 f black 0.13287
1940 90 f black 0.14132
1940 91 f black 0.15048
1940 92 f black 0.1604
1940 93 f black 0.17112
1940 94 f black 0.1827
1940 95 f black 0.19517
1940 96 f black 0.20858
1940 97 f black 0.22299
1940 98 f black 0.23843
1940 99 f black 0.25496
1940 100 f black 0.27261
1940 101 f black 0.29143
1940 102 f black 0.31148
1940 103 f black 0.3328
1940 104 f black 0.35543
1940 105 f black 0.37941
1940 106 f black 0.40481
1940 107 f black 0.43165
1940 108 f black 0.46
1940 109 f black 0.48988
1950 0-1d m total 0.01148
1950 1-7d m total 0.00912
1950 7-28d m total 0.00315
1950 0 m total 0.03339
1950 1 m total 0.00244
1950 2 m total 0.00152
1950 3 m total 0.00114
1950 4 m total 0.00096
1950 5 m total 0.00087
1950 6 m total 0.00078
1950 7 m total 0.00071
1950 8 m total 0.00066
1950 9 m total 0.00063
1950 10 m total 0.00063
1950 11 m total 0.00066
1950 12 m total 0.00071
1950 13 m total 0.00081
1950 14 m total 0.00095
1950 15 m total 0.00112
1950 16 m total 0.00129
1950 17 m total 0.00143
1950 18 m total 0.00155
1950 19 m total 0.00168
1950 20 m total 0.00179
1950 21 m total 0.00188
1950 22 m total 0.00195
1950 23 m total 0.00198
1950 24 m total 0.00198
1950 25 m total 0.00196
1950 26 m total 0.00195
1950 27 m total 0.00197
1950 28 m total 0.00201
1950 29 m total 0.00207
1950 30 m total 0.00214
1950 31 m total 0.00224
1950 32 m total 0.00236
1950 33 m total 0.00251
1950 34 m total 0.00267
1950 35 m total 0.00287
1950 36 m total 0.0031
1950 37 m total 0.00337
1950 38 m total 0.00368
1950 39 m total 0.00402
1950 40 m total 0.0044
1950 41 m total 0.00482
1950 42 m total 0.0053
1950 43 m total 0.00583
1950 44 m total 0.0064
1950 45 m total 0.00702
1950 46 m total 0.00769
1950 47 m total 0.00843
1950 48 m total 0.00922
1950 49 m total 0.01005
1950 50 m total 0.01095
1950 51 m total 0.01193
1950 52 m total 0.01301
1950 53 m total 0.0142
1950 54 m total 0.01549
1950 55 m total 0.01686
1950 56 m total 0.01831
1950 57 m total 0.01984
1950 58 m total 0.02143
1950 59 m total 0.02308
1950 60 m total 0.02482
1950 61 m total 0.02668
1950 62 m total 0.02868
1950 63 m total 0.03078
1950 64 m total 0.03295
1950 65 m total 0.03528
1950 66 m total 0.03784
1950 67 m total 0.0407
1950 68 m total 0.0433
1950 69 m total 0.04711
1950 70 m total 0.05069
1950 71 m total 0.05464
1950 72 m total 0.05905
1950 73 m total 0.06389
1950 74 m total 0.0691
1950 75 m total 0.07472
1950 76 m total 0.08077
1950 77 m total 0.08726
1950 78 m total 0.09406
1950 79 m total 0.10113
1950 80 m total 0.10872
1950 81 m total 0.11704
1950 82 m total 0.12632
1950 83 m total 0.13672
1950 84 m total 0.14809
1950 85 m total 0.16018
1950 86 m total 0.17277
1950 87 m total 0.18562
1950 88 m total 0.19867
1950 89 m total 0.21209
1950 90 m total 0.22595
1950 91 m total 0.24032
1950 92 m total 0.25525
1950 93 m total 0.27089
1950 94 m total 0.28718
